Flower_ID,Experiment,Species,Focal_Loc,Plant,Ramet,Bract,Treatment,HP_time,E_time,V_time,PD_Loc,PD_plant,PD_ramet,PD_bract,Bird,Band_or_color,VisDuration,Time_to_capture,Pollen_Location,Date,Collect_HrsAfter,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Notes_field,Tube_Count,notes_lab,year
75,17_001,H.tortuosa,Garden,G-TOR-02,18,7,HPNE,930,NA,NA,Garden,G-TOR-01,2,4,NA,NA,NA,NA,NA,20170213,NA,NA,NA,NA,NA,NA,0,,2017
76,17_001,H.tortuosa,Garden,G-TOR-02,14,3,HPNE,930,NA,NA,Garden,G-TOR-01,2,4,NA,NA,NA,NA,NA,20170213,NA,NA,NA,NA,NA,NA,0,,2017
137,17_015,H.tortuosa,Garden,G-TOR-02,3,7,HPNE,600,NA,NA,Garden,G-TOR-01,9,1,NA,NA,NA,NA,NA,20170218,32,NA,NA,NA,NA,NA,0,,2017
165,17_015,H.tortuosa,Garden,G-TOR-02,16,2,HPNE,600,NA,NA,Garden,G-TOR-01,9,1,NA,NA,NA,NA,NA,20170218,32,NA,NA,NA,NA,NA,0,,2017
222,17_043,H.tortuosa,Garden,G-TOR-02,15,1,HPNE,630,NA,NA,Garden,G-TOR-01,16,4,NA,NA,NA,NA,NA,20170303,35.5,NA,NA,NA,NA,NA,0,,2017
227,17_043,H.tortuosa,Garden,G-TOR-02,17,3,HPNE,600,NA,NA,Garden,G-TOR-01,16,4,NA,NA,NA,NA,NA,20170303,35.5,NA,NA,NA,NA,NA,0,,2017
230,17_043,H.tortuosa,Garden,G-TOR-01,3,8,HPNE,NA,NA,NA,Garden,G-TOR-02,15,2,NA,NA,NA,NA,NA,20170303,NA,NA,5.5,16.2,NA,NA,0,,2017
308,17_050,H.rostrata,Pino_Colina,PC-ROS-03,1,10,HPNE,800,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,25,NA,18,28.5,NA,NA,0,,2017
332,17_037,H.tortuosa,Garden,G-TOR-02,4,3,HPNE,700,NA,NA,Garden,G-TOR-01,5,6,NA,NA,NA,NA,NA,20170228,NA,NA,5.5,12,NA,NA,0,,2017
333,17_048,H.rostrata,Pino_Colina,PC-ROS-01,2,21,HPNE,830,NA,NA,Garden,G-ROS-01,1,NA,NA,NA,NA,NA,NA,20170307,24,NA,35,26.8,0,HP before nectar extraction,0,,2017
334,17_048,H.rostrata,Pino_Colina,PC-ROS-01,2,22,HPNE,830,NA,NA,Garden,G-ROS-01,1,NA,NA,NA,NA,NA,NA,20170307,24,NA,35.5,29.3,1,HP after nectar extraction,0,,2017
343,17_052,H.rostrata,Pino_Colina,PC-ROS-04,1,6,HPNE,700,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170314,27,NA,33,10,0,HP before nectar extraction; syringe,0,,2017
344,17_060,H.rostrata,Garden,G-ROS-02,2,6,HPNE,800,NA,NA,Pino_Colina,PC-ROS-01,1,19,NA,NA,NA,NA,NA,20170317,23,NA,27,25.4,1,HP after nectar extraction; syringe,0,,2017
364,17_015,H.tortuosa,Garden,G-TOR-02,16,1,HPNE,730,NA,NA,Garden,G-TOR-01,3,5,NA,NA,NA,NA,NA,20170217,NA,NA,NA,NA,NA,NA,0,,2017
374,17_039,H.tortuosa,Garden,G-TOR-01,17,1,HPNE,730,NA,NA,Garden,G-TOR-02,21,NA,NA,NA,NA,NA,NA,20170301,NA,NA,1,NA,NA,NA,1,,2017
395,17_037,H.tortuosa,Garden,G-TOR-01,11,3,HPNE,630,NA,NA,Garden,G-TOR-02,14,1,NA,NA,NA,NA,NA,20170228,NA,NA,19.5,18.2,NA,NA,0,,2017
425,17_041,H.rostrata,Garden,G-ROS-02,7,1,HPNE,630,NA,NA,Garden,G-ROS-01,1,5,NA,NA,NA,NA,NA,20170302,35,NA,0,NA,NA,NA,0,,2017
432,17_039,H.tortuosa,Garden,G-TOR-02,14,3,HPNE,730,NA,NA,Garden,G-TOR-01,2,4,NA,NA,NA,NA,NA,20170301,NA,NA,44,25,NA,NA,1,,2017
463,17_015,H.tortuosa,Garden,G-TOR-02,15,5,HPNE,800,NA,NA,Garden,G-TOR-01,3,5,NA,NA,NA,NA,NA,20170217,NA,NA,NA,NA,NA,NA,0,,2017
501,17_050,H.rostrata,Pino_Colina,PC-ROS-03,5,14,HPNE,800,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,25,NA,38,30,NA,NA,0,,2017
504,17_037,H.tortuosa,Garden,G-TOR-01,12,5,HPNE,630,NA,NA,Garden,G-TOR-02,14,1,NA,NA,NA,NA,NA,20170228,NA,NA,7.5,21.4,NA,NA,1,,2017
507,17_060,H.rostrata,Garden,G-ROS-02,2,7,HPNE,800,NA,NA,Pino_Colina,PC-ROS-01,1,19,NA,NA,NA,NA,NA,20170317,23,NA,51.5,24.4,0,HP before nectar extraction; syringe,0,,2017
513,17_037,H.tortuosa,Garden,G-TOR-01,2,3,HPNE,600,NA,NA,Garden,G-TOR-02,14,1,NA,NA,NA,NA,NA,20170228,NA,NA,0,NA,NA,NA,0,,2017
516,17_051,H.tortuosa,Garden,G-TOR-02,19,2,HPNE,600,NA,NA,Garden,G-TOR-01,18,1,NA,NA,NA,NA,NA,20170313,32,NA,6,29,1,HP after nectar extraction,0,,2017
522,17_050,H.rostrata,Garden,G-ROS-02,17,1,HPNE,1000,NA,NA,Pino_Colina,PC-ROS-01,3,20,NA,NA,NA,NA,NA,20170308,32.5,NA,40,17,1,HP after nectar extraction; syringe,0,,2017
523,17_050,H.rostrata,Garden,G-ROS-02,17,2,HPNE,1000,NA,NA,Pino_Colina,PC-ROS-01,3,20,NA,NA,NA,NA,NA,20170308,32.5,NA,46.5,23,1,HP after nectar extraction; syringe,0,,2017
524,17_053,H.wagneriana,Pino_Colina,PC-WAG-01,1,2,HPNE,930,NA,NA,Garden,G-WAG-01,2,1,NA,NA,NA,NA,NA,20170314,23.5,NA,38,>32,0,HP before nectar extraction,0,,2017
525,17_053,H.wagneriana,Garden,G-WAG-01,5,1,HPNE,1030,NA,NA,Pino_Colina,PC-WAG-01,2,8,NA,NA,NA,NA,NA,20170314,NA,NA,33,>32,1,HP after nectar extraction,0,,2017
533,17_048,H.rostrata,Garden,G-ROS-02,1,10,HPNE,930,NA,NA,Pino_Colina,PC-ROS-03,4,NA,NA,NA,NA,NA,NA,20170307,25,NA,29.5,26,NA,One missing???,0,,2017
534,17_056,H.hirsuta,Pino_Colina,PC-HIR-01,2,3,HPNE,730,NA,NA,Garden,G-HIR-01,15,3,NA,NA,NA,NA,NA,20170316,27.5,NA,10.5,25.8,NA,NA,0,,2017
535,17_051,H.tortuosa,Garden,G-TOR-01,18,3,HPNE,700,NA,NA,Garden,G-TOR-02,23,2,NA,NA,NA,NA,NA,20170313,32,NA,3,30.3,1,HP after nectar extraction,1,,2017
539,17_050,H.rostrata,Pino_Colina,PC-ROS-01,2,10,HPNE,830,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,24.5,NA,23.5,27,1,HP after nectar extraction,0,,2017
540,17_058,H.wagneriana,Garden,G-WAG-01,2,5,HPNE,1130,NA,NA,Pino_Colina,PC-WAG-01,2,5,NA,NA,NA,NA,NA,20170316,24.5,NA,43.5,31.8,0,HP before nectar extraction,1,,2017
543,17_039,H.tortuosa,Garden,G-TOR-01,1,3,HPNE,800,NA,NA,Garden,G-TOR-02,21,NA,NA,NA,NA,NA,NA,20170301,NA,NA,1,NA,NA,NA,1,,2017
544,17_037,H.tortuosa,Garden,G-TOR-02,17,3,HPNE,700,NA,NA,Garden,G-TOR-01,5,6,NA,NA,NA,NA,NA,20170228,NA,NA,4,10,NA,NA,0,,2017
553,17_058,H.wagneriana,Pino_Colina,PC-WAG-03,1,7,HPNE,800,NA,NA,Garden,G-WAG-01,5,3,NA,NA,NA,NA,NA,20170316,27,NA,22.5,>32,0,HP before nectar extraction,0,,2017
560,17_058,H.wagneriana,Pino_Colina,PC-WAG-01,1,1,HPNE,900,NA,NA,Garden,G-WAG-01,5,3,NA,NA,NA,NA,NA,20170316,26.5,NA,29,>32,1,HP after nectar extraction,1,,2017
562,17_039,H.tortuosa,Garden,G-TOR-02,17,2,HPNE,730,NA,NA,Garden,G-TOR-01,2,4,NA,NA,NA,NA,NA,20170301,NA,NA,NA,NA,NA,NA,1,,2017
566,17_058,H.wagneriana,Garden,G-WAG-01,5,4,HPNE,1100,NA,NA,Pino_Colina,PC-WAG-01,2,5,NA,NA,NA,NA,NA,20170316,NA,NA,23,>32,1,HP after nectar extraction,1,,2017
575,17_050,H.rostrata,Pino_Colina,PC-ROS-02,1,12,HPNE,800,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,25,NA,34,33,0,HP before nectar extraction,0,,2017
579,17_058,H.wagneriana,Pino_Colina,PC-WAG-03,1,6,HPNE,800,NA,NA,Garden,G-WAG-01,5,3,NA,NA,NA,NA,NA,20170316,27,NA,12,>32,1,HP after nectar extraction,0,,2017
580,17_050,H.rostrata,Pino_Colina,PC-ROS-02,1,7,HPNE,730,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,25.5,NA,2,NA,0,HP before nectar extraction,0,,2017
582,17_050,H.rostrata,Pino_Colina,PC-ROS-01,3,4,HPNE,900,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,24,NA,19,29,NA,NA,0,,2017
583,17_050,H.rostrata,Pino_Colina,PC-ROS-01,3,6,HPNE,900,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,24,NA,34,25.5,NA,NA,0,,2017
584,17_053,H.wagneriana,Garden,G-WAG-01,2,8,HPNE,1030,NA,NA,Pino_Colina,PC-WAG-01,2,8,NA,NA,NA,NA,NA,20170314,NA,NA,17.5,>32,0,HP before nectar extraction,2,,2017
585,17_050,H.rostrata,Garden,G-ROS-02,21,4,HPNE,1000,NA,NA,Pino_Colina,PC-ROS-01,3,20,NA,NA,NA,NA,NA,20170308,32.5,NA,NA,NA,1,HP after nectar extraction; mouth,0,,2017
586,17_054,H.hirsuta,Pino_Colina,PC-HIR-03,2,4,HPNE,800,NA,NA,Garden,G-HIR-01,6,1,NA,NA,NA,NA,NA,20170315,26.5,NA,17.5,29.6,NA,NA,2,,2017
606,17_051,H.tortuosa,Garden,G-TOR-02,6,5,HPNE,530,NA,NA,Garden,G-TOR-01,18,1,NA,NA,NA,NA,NA,20170313,32,NA,0,NA,0,HP before nectar extraction,0,,2017
611,17_058,H.wagneriana,Pino_Colina,PC-WAG-02,8,3,HPNE,830,NA,NA,Garden,G-WAG-01,5,3,NA,NA,NA,NA,NA,20170316,27,NA,18,>32,1,HP after nectar extraction,0,,2017
615,17_055,H.wagneriana,Pino_Colina,PC-WAG-03,1,5,HPNE,800,NA,NA,Garden,G-WAG-01,1,5,NA,NA,NA,NA,NA,20170315,26.5,NA,23,30.5,1,HP after nectar extraction,0,,2017
622,17_051,H.tortuosa,Garden,G-TOR-02,26,4,HPNE,600,NA,NA,Garden,G-TOR-01,18,1,NA,NA,NA,NA,NA,20170313,31.5,NA,0,NA,0,HP before nectar extraction,0,,2017
623,17_051,H.tortuosa,Garden,G-TOR-02,6,7,HPNE,530,NA,NA,Garden,G-TOR-01,18,1,NA,NA,NA,NA,NA,20170313,32,NA,12,29,1,HP after nectar extraction,0,,2017
624,17_062,H.wagneriana,Garden,G-WAG-01,5,1,HPNE,700,NA,NA,Pino_Colina,PC-WAG-01,4,2,NA,NA,NA,NA,NA,20170317,23.5,NA,9.5,>32,0,HP before nectar extraction,2,,2017
626,17_062,H.wagneriana,Garden,G-WAG-01,2,1,HPNE,730,NA,NA,Pino_Colina,PC-WAG-01,4,2,NA,NA,NA,NA,NA,20170317,23,NA,14,>32,NA,NA,1,,2017
627,17_054,H.hirsuta,Pino_Colina,PC-HIR-03,4,3,HPNE,800,NA,NA,Garden,G-HIR-01,6,1,NA,NA,NA,NA,NA,20170315,26.5,NA,17,30.8,NA,NA,1,,2017
631,17_050,H.rostrata,Pino_Colina,PC-ROS-02,1,6,HPNE,730,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170308,25.5,NA,12.5,29.5,1,HP after nectar extraction,1,,2017
638,17_037,H.tortuosa,Garden,G-TOR-01,2,1,HPNE,610,NA,NA,Garden,G-TOR-02,14,1,NA,NA,NA,NA,NA,20170228,NA,NA,0.5,NA,NA,NA,1,,2017
640,17_055,H.wagneriana,Pino_Colina,PC-WAG-03,2,3,HPNE,830,NA,NA,Garden,G-WAG-01,1,5,NA,NA,NA,NA,NA,20170315,26,NA,32,30,0,HP before nectar extraction,0,,2017
652,17_041,H.rostrata,Garden,G-ROS-02,1,5,HPNE,600,NA,NA,Garden,G-ROS-01,1,5,NA,NA,NA,NA,NA,20170302,35,NA,25,12.4,NA,NA,0,,2017
659,17_041,H.rostrata,Garden,G-ROS-02,4,6,HPNE,600,NA,NA,Garden,G-ROS-01,1,5,NA,NA,NA,NA,NA,20170302,35.5,NA,8.5,26.4,NA,NA,1,,2017
660,17_055,H.wagneriana,Pino_Colina,PC-WAG-01,5,3,HPNE,700,NA,NA,Garden,G-WAG-01,1,5,NA,NA,NA,NA,NA,20170315,26.5,NA,10.5,>32,0,HP before nectar extraction,2,,2017
661,17_037,H.tortuosa,Garden,G-TOR-02,4,6,HPNE,700,NA,NA,Garden,G-TOR-01,5,6,NA,NA,NA,NA,NA,20170228,NA,NA,12.5,24.6,NA,NA,0,,2017
688,17_062,H.wagneriana,Garden,G-WAG-01,5,5,HPNE,700,NA,NA,Pino_Colina,PC-WAG-01,4,2,NA,NA,NA,NA,NA,20170317,23.5,NA,16.5,>32,0,HP before nectar extraction,1,,2017
693,17_053,H.wagneriana,Pino_Colina,PC-WAG-04,1,4,HPNE,900,NA,NA,Garden,G-WAG-01,5,5,NA,NA,NA,NA,NA,20170314,24,NA,NA,NA,NA,NA,0,,2017
695,17_053,H.wagneriana,Pino_Colina,PC-WAG-02,9,6,HPNE,930,NA,NA,Garden,G-WAG-01,5,5,NA,NA,NA,NA,NA,20170314,24,NA,10.5,>32,1,HP after nectar extraction; Maybe yesterday's flower?,0,,2017
701,17_058,H.wagneriana,Garden,G-WAG-01,2,6,HPNE,1130,NA,NA,Pino_Colina,PC-WAG-01,2,5,NA,NA,NA,NA,NA,20170316,24.5,NA,23,>32,0,HP before nectar extraction,0,,2017
710,17_055,H.wagneriana,Pino_Colina,PC-WAG-01,5,2,HPNE,700,NA,NA,Garden,G-WAG-01,6,3,NA,NA,NA,NA,NA,20170315,26.5,NA,7.5,>32,1,HP after nectar extraction,0,,2017
712,17_058,H.wagneriana,Garden,G-WAG-01,5,6,HPNE,1100,NA,NA,Pino_Colina,PC-WAG-01,2,5,NA,NA,NA,NA,NA,20170316,24.5,NA,23,>32,0,HP before nectar extraction,2,,2017
734,17_041,H.rostrata,Garden,G-ROS-02,20,5,HPNE,NA,NA,NA,Garden,G-ROS-01,1,5,NA,NA,NA,NA,NA,20170302,NA,NA,23.5,19.4,NA,NA,0,,2017
735,17_041,H.rostrata,Garden,G-ROS-02,20,1,HPNE,730,NA,NA,Garden,G-ROS-01,1,5,NA,NA,NA,NA,NA,20170302,34,NA,14.5,20,NA,NA,0,,2017
749,17_053,H.wagneriana,Pino_Colina,PC-WAG-03,1,1,HPNE,830,NA,NA,Garden,G-WAG-01,5,5,NA,NA,NA,NA,NA,20170314,24,NA,17,32,1,HP after nectar extraction,1,,2017
759,17_060,H.rostrata,Garden,G-ROS-02,16,7,HPNE,830,NA,NA,Pino_Colina,PC-ROS-01,1,19,NA,NA,NA,NA,NA,20170317,22.5,NA,11,27.4,0,HP before nectar extraction; syringe,1,,2017
760,17_060,H.rostrata,Garden,G-ROS-02,5,5,HPNE,830,NA,NA,Pino_Colina,PC-ROS-01,1,19,NA,NA,NA,NA,NA,20170317,22.5,NA,36,26,1,HP after nectar extraction; syringe,0,,2017
764,17_053,H.wagneriana,Pino_Colina,PC-WAG-02,8,4,HPNE,900,NA,NA,Garden,G-WAG-01,5,5,NA,NA,NA,NA,NA,20170314,22.5,NA,0,NA,1,HP after nectar extraction; Maybe yesterday's flower?,0,,2017
765,17_052,H.rostrata,Pino_Colina,PC-ROS-03,1,10,HPNE,730,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170314,25.5,NA,30.5,>32,1,HP after nectar extraction; syringe; chewed by bees,0,,2017
771,17_048,H.rostrata,Pino_Colina,PC-ROS-01,3,7,HPNE,800,NA,NA,Garden,G-ROS-01,1,NA,NA,NA,NA,NA,NA,20170307,24.5,NA,5,30.4,0,HP before nectar extraction,1,,2017
775,17_048,H.rostrata,Garden,G-ROS-02,15,3,HPNE,1000,NA,NA,Pino_Colina,PC-ROS-03,4,NA,NA,NA,NA,NA,NA,20170307,24,NA,7,27.6,NA,NA,1,,2017
794,17_052,H.rostrata,Pino_Colina,PC-ROS-01,3,19,HPNE,730,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170314,26,NA,39,>32,0,HP before nectar extraction,0,,2017
795,17_052,H.rostrata,Pino_Colina,PC-ROS-03,1,11,HPNE,800,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170314,25,NA,38.5,>32,0,HP before nectar extraction; syringe; chewed by bees,0,,2017
806,17_048,H.rostrata,Pino_Colina,PC-ROS-03,1,9,HPNE,900,NA,NA,Garden,G-ROS-01,1,NA,NA,NA,NA,NA,NA,20170307,23.5,NA,NA,32,0,HP before nectar extraction,0,,2017
808,17_052,H.rostrata,Pino_Colina,PC-ROS-04,1,2,HPNE,700,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170314,27,NA,0,NA,1,HP after nectar extraction; mouth,0,,2017
810,17_052,H.rostrata,Pino_Colina,PC-ROS-01,3,19,HPNE,700,NA,NA,Garden,G-ROS-02,2,NA,NA,NA,NA,NA,NA,20170314,26.5,NA,34.5,>32,1,HP after nectar extraction,0,,2017
34,14,H.rostrata,Garden,G-ROS-02,1,9,HPNE,1100,NA,NA,Pino_Colina,PC-ROS-06,1,7,NA,NA,NA,NA,NA,20180217,24,L,4,26,0,,0,,2018
36,15,H.wagneriana,Garden,G-WAG-02,1,1,HPNE,1130,NA,NA,Pino_Colina,PC-WAG-01,2,3,NA,NA,NA,NA,NA,20180217,23.5,L,7,30,0,,0,,2018
58,28,H.tortuosa,Garden,G-TOR-02,10,2,HPNE,1000,NA,1007,Garden,G-TOR-06,1,2,NA,NA,NA,NA,NA,20180220,26,L,21,>32,0,,0,,2018
60,29,H.tortuosa,Garden,G-TOR-02,11,1,HPNE,1030,NA,1035,Garden,G-TOR-06,1,2,NA,NA,NA,NA,NA,20180220,25.5,L,38,31,0,,0,,2018
62,30,H.tortuosa,Garden,G-TOR-02,2,1,HPNE,1030,NA,1055,Garden,G-TOR-06,1,2,NA,NA,NA,NA,NA,20180220,25.5,M,46,30,0,,0,,2018
78,38,H.tortuosa,Garden,G-TOR-02,11,2,HPNE,1030,NA,1035,Garden,G-TOR-07,1,1,NA,NA,NA,NA,NA,20180224,NA,L,5,28,0,,0,,2018
81,39,H.tortuosa,Garden,G-TOR-02,9,2,HPNE,1100,NA,1100,Garden,G-TOR-07,1,1,NA,NA,NA,NA,NA,20180224,NA,M,21,29,0,,2,,2018
82,39,H.tortuosa,Garden,G-TOR-02,9,6,HPNE,1100,NA,1110,Garden,G-TOR-07,1,1,NA,NA,NA,NA,NA,20180224,NA,L,17,29,0,,0,,2018
87,42,H.rostrata,Garden,G-ROS-02,11,6,HPNE,1030,NA,1035,Roadside,RS-ROS-01,1,8,NA,NA,NA,NA,NA,20180227,29,L,31,23,0,,0,,2018
88,43,H.rostrata,Garden,G-ROS-03,1,5,HPNE,1100,NA,1105,Finca_del_Sol,FDS-ROS-01,2,4,NA,NA,NA,NA,NA,20180227,28.5,L,1,NA,0,,0,,2018
150,74,H.rostrata,Garden,G-ROS-02,10,16,HPNE,1100,NA,1118,Pino_Colina,PC-ROS-11,1,6,NA,NA,NA,NA,NA,20180311,30.5,L,22,26,0,,2,,2018
194,94,H.rostrata,Pino_Colina,PC-ROS-02,3,5,HPNE,1000,NA,1005,Garden,G-ROS-02,15,2,NA,NA,NA,NA,NA,20180319,52,NA,2,,0,,0,,2018
195,94,H.rostrata,Pino_Colina,PC-ROS-02,3,7,HPNE,1000,NA,1011,Garden,G-ROS-02,15,2,NA,NA,NA,NA,NA,20180319,52,NA,9,1,0,,0,,2018
196,95,H.rostrata,Pino_Colina,PC-ROS-03,2,2,HPNE,1030,NA,1030,Garden,G-ROS-02,15,2,NA,NA,NA,NA,NA,20180319,51.5,L,30,26,0,,0,,2018
199,97,H.rostrata,Pino_Colina,PC-ROS-09,1,9,HPNE,1100,NA,1117,Garden,G-ROS-02,15,2,NA,NA,NA,NA,NA,20180319,51,M,43,22,0,,0,,2018
210,102,H.tortuosa,Garden,G-TOR-02,2,2,HPNE,1132,NA,1140,Garden,G-TOR-10,1,1,NA,NA,NA,NA,NA,20180322,28.5,L,8,18,0,,0,,2018
211,102,H.tortuosa,Garden,G-TOR-02,2,9,HPNE,1132,NA,1148,Garden,G-TOR-10,1,1,NA,NA,NA,NA,NA,20180322,28.5,L,29,25,0,,0,,2018
