Flower_ID,Experiment,Species,Focal_Loc,Plant,Ramet,Bract,Treatment,HP_time,E_time,V_time,PD_Loc,PD_plant,PD_ramet,PD_bract,Bird,Band_or_color,VisDuration,Time_to_capture,Pollen_Location,Date,Collect_HrsAfter,Damage,Nectar_Out,Brix,Pollen_added_after_visit,Notes_field,Tube_Count,notes_lab,year
283,124,H.hirsuta,Pino_Colina,PC-HIR-07,1,3,GREH,730,757,805,Garden,G-HIR-01,1,5,GREH01,SA4638,7,39,BNH,20190214,26,NA,NA,NA,0,,1,,2019
284,124,H.hirsuta,Pino_Colina,PC-HIR-07,1,4,GREH,730,757,757,Garden,G-HIR-01,1,5,GREH01,SA4638,NA,39,BNH,20190214,26,NA,NA,NA,0,,0,,2019
282,124,H.hirsuta,Pino_Colina,PC-HIR-07,1,2,HP,730,NA,NA,Garden,G-HIR-01,1,5,NA,NA,NA,NA,NA,20190214,26,NA,NA,NA,NA,,3,,2019
290,128,H.hirsuta,Pino_Colina,PC-HIR-12,1,2,HP,900,NA,NA,Garden,G-HIR-01,5,2,NA,NA,NA,NA,NA,20190215,22.5,L,NA,NA,NA,,1,,2019
301,132,H.hirsuta,Garden,G-HIR-01,5,3,GREH,1000,1011,1011,Pino_Colina,PC-HIR-12,2,1,GREH01,SA4638,8,8,BNH,20190216,27.5,L,NA,NA,1,,0,,2019
300,132,H.hirsuta,Garden,G-HIR-01,4,2,HP,1000,NA,NA,Pino_Colina,PC-HIR-12,2,1,NA,NA,NA,NA,NA,20190216,27.5,L,NA,NA,NA,,0,,2019
323,144,H.hirsuta,Pino_Colina,PC-HIR-08,1,2,RTAH,1030,1044,1046,Garden,G-HIR-01,8,6,RTAH08,b,7,61,BNH,20190223,27,M,NA,NA,1,,1,,2019
324,144,H.hirsuta,Pino_Colina,PC-HIR-12,1,2,HP,1030,NA,NA,Garden,G-HIR-01,8,6,NA,NA,NA,NA,NA,20190223,27,L,NA,NA,NA,,0,,2019
338,152,H.hirsuta,Pino_Colina,PC-HIR-13,1,1,RTAH,800,821,823,Garden,G-HIR-01,2,5,RTAH08,b,3,90,NH,20190226,48.5,M,NA,NA,0,,5,,2019
339,152,H.hirsuta,Pino_Colina,PC-HIR-13,1,3,HP,800,NA,NA,Garden,G-HIR-01,2,5,NA,NA,NA,NA,NA,20190226,48.5,M,NA,NA,NA,,0,,2019
340,152,H.hirsuta,Pino_Colina,PC-HIR-05,1,2,HP,900,NA,NA,Garden,G-HIR-01,2,5,NA,NA,NA,NA,NA,20190226,47,M,NA,NA,NA,,1,,2019
