"","Fecha","Obs","Parche","Planta","Bractea","Treatment","Method","Dia-olv","Peso_fruta","# Semillas","Peso 1","Peso 2","Peso 3","Falsa","Notas"
"1",2024-05-07,"MAP","K3",728,2,"Stub-Control","Stub",7.45,0.192,2,0.13,0.07,0,0,"0.73/0.120"
"2",2024-05-23,"MAP","K2",741,3,"E","PRM",7.79,0.322,1,0.05,0,0,0,"0.048"
"3",2024-05-23,"MAP","K3",744,1,"ND","PRM",8.82,0.472,2,0.05,0.04,0,0,"0.05/0.055"
"4",2024-05-23,"MAP","K3",747,1,"ND","PRM",8.07,0.344,1,0.07,0,0,0,"0.064"
"5",2024-05-23,"MAP","K3",747,1,"ND","PRM",8.23,0.414,0,0,0,0,1,"Falsa"
"6",2024-05-23,"MAP","Mike",740,2,"ND","PRM",8.29,0.501,2,0.1,0.08,0,0,"0.098/0.075"
"7",2024-05-23,"MAP","Mike",740,4,"ND","PRM",7.19,0.369,1,0.07,0,0,0,"0.072"
"8",2024-05-23,"MAP","Mike",740,4,"ND","PRM",7.09,0.371,1,0.11,0,0,0,"0.103"
"9",2024-05-23,"MAP","K1",736,2,"E","PRM",6.77,0.374,1,0.12,0,0,0,"0.115"
"10",2024-05-27,"MAP","K1",707,5,"Stub-Control","Stub",7.52,0.343,2,0.075,0.102,0,0,"0.08/ 0.11"
"11",2024-06-12,"MAP","K1",735,5,"ND","PRM",8.44,0.39,2,0.11,0.11,0,0,"NULL"
"12",2024-07-02,"MAP","K1",780,7,"ND-Far","PRM-Ext",5.96,0.26,1,0,0,0,1,"NULL"
"13",2024-07-18,"MAP","K1",783,1,"ND-Far","PRM-Ext",8.14,0.44,2,0.08,0.09,0,0,"NULL"
"14",2024-07-18,"MAP","K2",778,1,"NE","PRM-Ext",8.42,0.66,3,0.11,0.11,0.11,0,"NULL"
"15",2024-07-18,"MAP","K1",780,5,"ND-NN","PRM-Ext",8.1,0.64,3,0.11,0.12,0.12,0,"NULL"
"16",2024-07-18,"MAP","K1",784,2,"ND-NN","PRM-Ext",7.31,0.23,1,0,0,0,1,"NULL"
"17",2024-07-18,"MAP","K1",784,6,"ND-Far","PRM-Ext",7.66,0.54,3,0.08,0.08,0.09,0,"NULL"
"18",2024-07-18,"MAP","K1",787,4,"ND-Far","PRM-Ext",7.25,0.38,2,0.08,0.09,0,0,"NULL"
"19",2024-07-18,"MAP","K1",778,5,"ND-S","PRM-Ext",6.41,0.24,2,0,0,0,2,"NULL"
"20",2024-07-18,"MAP","K2",797,1,"ND-NN","PRM-Ext",6.77,0.27,1,0.11,0,0,0,"NULL"
"21",2024-07-30,"MAP","K2",778,4,"SD","PRM-Ext",8.03,0.3,1,0.05,0,0,1,"Semilla-Falsa"
"22",2024-07-31,"MAP","K1",793,4,"SD","PRM-Ext",8.14,0.28,1,0.08,0,0,0,"NULL"
"23",2024-07-31,"MAP","K1",794,1,"NE","PRM-Ext",6.31,0.3,1,0.11,0,0,0,"NULL"
"24",2024-07-31,"MAP","K2",797,6,"SD","PRM-Ext",9.46,0.47,1,0.04,0,0,1,"Semilla-Falsa"
"25",2024-07-31,"MAP","K2",797,6,"SD","PRM-Ext",7.96,0.39,2,0.07,0.07,0,2,"Semilla-Falsa"
"26",2024-08-17,"MAP","K1",784,5,"HPO","PRM-Ext",5.63,0.23,1,0.05,0,0,0,"La semilla no se ve bien."
"27",2024-08-17,"MAP","K1",784,6,"ND-Far","PRM-Ext",7.67,0.48,2,0.07,0.08,0,0,"NULL"
"28",2024-08-17,"MAP","K1",796,6,"ND-NN","PRM-Ext",8.33,0.33,1,0.11,0,0,0,"NULL"
