"","Patch","Plant_ID","Bract","Treatment","Pollen_Donor","Poll_Date","Poll_Time","Coll_Date","Coll_Time","Damage","Out","Notes"
"1","K1",780,7,"ND-Far",772,2024-04-30,1899-12-30 09:44:00,2024-05-01,1899-12-30 02:09:00,0,2,""
"2","K1",781,5,"ND-NN",730,2024-04-30,1899-12-30 10:00:00,2024-05-01,1899-12-30 02:12:00,0,4,""
"3","K1",782,1,"ND-S",782,2024-04-30,1899-12-30 10:10:00,2024-05-01,1899-12-30 09:30:00,1,8,"Los frutos out no esta muy sanos."
"4","K1",782,2,"HPO",772,2024-04-30,1899-12-30 10:20:00,2024-05-01,1899-12-30 02:14:00,0,7,""
"5","K1",782,5,"NE",772,2024-04-30,1899-12-30 10:25:00,2024-05-01,1899-12-30 02:14:00,0,3,""
"6","K1",783,1,"ND-Far",760,2024-04-30,1899-12-30 10:40:00,2024-05-01,1899-12-30 10:10:00,2,7,""
"7","K1",784,2,"ND-NN",737,2024-04-30,1899-12-30 10:50:00,2024-05-01,1899-12-30 10:25:00,0,7,"Out: muy buenos"
"8","K1",784,3,"ND-S",784,2024-04-30,1899-12-30 11:00:00,2024-05-01,1899-12-30 10:25:00,0,6,""
"9","K1",784,5,"HPO",760,2024-04-30,1899-12-30 11:10:00,2024-05-01,1899-12-30 02:17:00,0,3,""
"10","K1",785,4,"NE",760,2024-04-30,1899-12-30 11:30:00,2024-05-01,1899-12-30 10:30:00,1,6,"NE:Extraccion con la boca, el Adams J. se quedo sin bateria."
"11","K1",780,3,"ND-Far",760,2024-05-01,1899-12-30 09:30:00,2024-05-02,1899-12-30 01:10:00,1,7,""
"12","K1",780,5,"ND-NN",730,2024-05-01,1899-12-30 09:41:00,2024-05-02,1899-12-30 01:11:00,0,4,""
"13","K1",781,2,"ND-S",781,2024-05-01,1899-12-30 09:45:00,2024-05-02,1899-12-30 01:17:00,0,5,"El estilo comido."
"14","K1",781,3,"HPO",773,2024-05-01,1899-12-30 09:57:00,2024-05-02,1899-12-30 01:17:00,0,7,""
"15","K1",783,4,"NE",773,2024-05-01,1899-12-30 10:11:00,2024-05-02,1899-12-30 01:19:00,0,3,""
"16","K1",784,6,"ND-Far",773,2024-05-01,1899-12-30 10:29:00,2024-05-02,1899-12-30 01:20:00,0,2,""
"17","K1",785,3,"ND-NN",736,2024-05-01,1899-12-30 10:43:00,2024-05-02,1899-12-30 01:22:00,0,6,""
"18","K1",785,6,"ND-S",785,2024-05-01,1899-12-30 10:55:00,2024-05-02,1899-12-30 01:22:00,0,4,""
"19","K1",783,5,"HPO",773,2024-05-02,1899-12-30 09:14:00,2024-05-03,1899-12-30 03:01:00,0,1,""
"20","K1",784,3,"ND-S",784,2024-05-02,1899-12-30 09:19:00,2024-05-03,1899-12-30 03:04:00,0,6,""
"21","K1",786,3,"NE",760,2024-05-02,1899-12-30 09:40:00,2024-05-03,1899-12-30 03:06:00,1,0,""
"22","K1",787,4,"ND-Far",760,2024-05-02,1899-12-30 09:44:00,2024-05-03,1899-12-30 03:08:00,1,5,""
"23","K1",787,6,"ND-NN",736,2024-05-02,1899-12-30 10:00:00,2024-05-03,1899-12-30 03:11:00,1,2,""
"24","K1",788,7,"HPO",733,2024-05-02,1899-12-30 10:13:00,2024-05-03,1899-12-30 03:12:00,0,0,""
"25","K1",789,4,"NE",760,2024-05-02,1899-12-30 10:27:00,2024-05-03,1899-12-30 03:19:00,0,5,""
"26","K2",790,1,"ND-Far",760,2024-05-02,1899-12-30 10:45:00,2024-05-03,1899-12-30 03:21:00,0,0,"Lluvia 10:45 am/ estilo comido"
"27","K1",780,3,"ND-Far",760,2024-05-03,1899-12-30 09:49:00,2024-05-04,1899-12-30 02:23:00,0,7,""
"28","K1",781,2,"ND-S",781,2024-05-03,1899-12-30 09:51:00,2024-05-04,1899-12-30 02:25:00,0,5,""
"29","K1",781,3,"HPO",773,2024-05-03,1899-12-30 09:56:00,2024-05-04,1899-12-30 09:15:00,0,7,""
"30","K1",782,2,"HPO",772,2024-05-03,1899-12-30 10:00:00,2024-05-04,1899-12-30 02:27:00,0,7,""
"31","K1",782,5,"NE",772,2024-05-03,1899-12-30 10:04:00,2024-05-04,1899-12-30 02:28:00,0,3,""
"32","K1",783,4,"NE",773,2024-05-03,1899-12-30 10:06:00,2024-05-04,1899-12-30 02:29:00,1,3,""
"33","K1",783,5,"HPO",773,2024-05-03,1899-12-30 10:12:00,2024-05-04,1899-12-30 02:30:00,0,1,""
"34","K1",784,2,"ND-NN",737,2024-05-03,1899-12-30 10:20:00,2024-05-04,1899-12-30 02:39:00,0,7,""
"35","K1",785,4,"NE",760,2024-05-03,1899-12-30 10:30:00,2024-05-04,1899-12-30 02:41:00,0,6,""
"36","K1",786,1,"ND-Far",760,2024-05-03,1899-12-30 10:31:00,2024-05-04,1899-12-30 02:43:00,0,2,""
"37","K1",787,5,"ND-S",787,2024-05-03,1899-12-30 10:40:00,2024-05-04,1899-12-30 02:45:00,0,4,""
"38","K1",788,4,"ND-NN",737,2024-05-03,1899-12-30 10:57:00,2024-05-04,1899-12-30 02:46:00,0,5,""
"39","K1",788,6,"ND-Far",760,2024-05-03,1899-12-30 11:02:00,2024-05-04,1899-12-30 02:47:00,0,2,""
"40","K1",791,1,"ND-S",791,2024-05-03,1899-12-30 11:23:00,2024-05-04,1899-12-30 02:49:00,0,7,""
"41","K1",791,2,"ND-NN",736,2024-05-03,1899-12-30 11:29:00,2024-05-04,1899-12-30 02:51:00,0,6,""
"42","K1",791,4,"NE",773,2024-05-03,1899-12-30 11:39:00,2024-05-04,1899-12-30 03:00:00,0,3,""
"43","K1",780,5,"ND-NN",730,2024-05-04,1899-12-30 09:20:00,2024-05-06,1899-12-30 08:57:00,0,4,"Mucho nectar."
"44","K1",784,6,"ND-Far",773,2024-05-04,1899-12-30 09:30:00,2024-05-06,1899-12-30 08:58:00,0,2,""
"45","K1",785,6,"ND-S",785,2024-05-04,1899-12-30 09:40:00,2024-05-06,1899-12-30 09:03:00,1,4,""
"46","K1",787,4,"ND-Far",760,2024-05-04,1899-12-30 09:50:00,2024-05-06,1899-12-30 09:05:00,0,5,"estilo comido por insecto."
"47","K1",789,3,"HPO",760,2024-05-04,1899-12-30 10:05:00,2024-05-06,1899-12-30 09:06:00,1,6,""
"48","K1",780,3,"ND-Far",760,2024-05-04,1899-12-30 09:16:00,2024-05-07,1899-12-30 02:35:00,0,7,""
"49","K1",780,5,"ND-NN",730,2024-05-06,1899-12-30 09:18:00,2024-05-07,1899-12-30 02:36:00,2,4,""
"50","K1",780,7,"ND-Far",772,2024-05-06,1899-12-30 09:24:00,2024-05-07,1899-12-30 02:38:00,1,2,""
"51","K1",781,2,"ND-S",781,2024-05-06,1899-12-30 09:30:00,2024-05-07,1899-12-30 02:39:00,0,5,""
"52","K1",781,3,"HPO",773,2024-05-06,1899-12-30 09:33:00,2024-05-07,1899-12-30 02:40:00,0,7,""
"53","K1",782,2,"HPO",772,2024-05-06,1899-12-30 09:38:00,2024-05-07,1899-12-30 02:43:00,0,7,""
"54","K1",782,5,"Polish",NA,2024-05-06,1899-12-30 09:40:00,2024-05-07,NA,NA,3,""
"55","K1",783,1,"Polish",NA,2024-05-06,1899-12-30 09:43:00,2024-05-07,NA,NA,7,""
"56","K1",783,1,"Polish",NA,2024-05-06,1899-12-30 09:46:00,2024-05-07,NA,NA,7,""
"57","K1",784,2,"Polish",NA,2024-05-06,1899-12-30 09:51:00,2024-05-07,NA,NA,7,""
"58","K1",784,3,"Polish",NA,2024-05-06,1899-12-30 09:55:00,2024-05-07,NA,NA,6,""
"59","K1",786,1,"ND-Far",760,2024-05-06,1899-12-30 10:02:00,2024-05-07,1899-12-30 02:44:00,0,2,""
"60","K1",786,3,"Polish",NA,2024-05-06,1899-12-30 10:08:00,2024-05-07,NA,NA,0,""
"61","K1",787,5,"ND-S",787,2024-05-06,1899-12-30 10:10:00,2024-05-07,1899-12-30 02:45:00,0,4,""
