Patch,Plant_ID,Bract_Num,Bract_Total,Treatment,Pollen_Donor,PD_Covered,Poll_Date,Poll_Time,Coll_Date,Coll_Time,Damage,Num_Above_Tape,Style_Collected,Applier_Technique,Applier_Pollen,Killed,Closed_Date,Closed_Time,Notes
K1,732,6,7,E,759,Y,2024-03-16,8:38,2024-03-17,15:33,0,7,Y,Mike,Ferne,N,2024-03-25,8:24,
K1,733,2,4,E,757,Y,2024-03-16,8:51,2024-03-17,15:36,2,4,Y,Mike,Ferne,N,2024-03-28,8:22,"Short pause between application of charge and pollen. Style very eaten, only a small snub left."
K1,734,1,3,E,761,Y,2024-03-16,8:59,2024-03-17,15:39,0,2,Y,Mike,Ferne,N,2024-03-25,8:43,Ants
K1,736,2,8,E,757,Y,2024-03-16,9:12,2024-03-17,15:43,0,7,Y,Mike,Ferne,N,2024-03-25,8:59,
K1,738,4,7,E,759,Y,2024-03-16,9:31,2024-03-17,15:38,0,5,Y,Mike,Ferne,N,2024-03-25,9:19,
K2,739,5,8,E,762,Y,2024-03-16,9:39,2024-03-17,15:50,0,17,Y,Mike,Ferne,N,2024-03-28,8:49,
K2,743,3,5,E,763,Y,2024-03-16,10:20,2024-03-17,15:55,0,19,Y,Mike,Ferne,N,2024-03-25,9:54,3 mature fruits. Very small flower.
Mike,740,3,5,E,762,Y,2024-03-16,9:52,2024-03-17,15:30,0,6,Y,Mike,Ferne,N,2024-03-25,10:33,
K1,736,2,8,E,758,Y,2024-03-18,8:20,2024-03-19,15:09,0,,Y,Ferne,Ferne,N,2024-03-25,8:59,
K1,738,4,6,E,762,Y,2024-03-18,8:43,2024-03-19,15:01,0,,Y,Ferne,Ferne,N,2024-03-25,9:19,
K2,742,2,4,E,759,Y,2024-03-18,9:01,2024-03-19,14:55,0,2,Y,Ferne,Ferne,N,2024-03-28,8:52,"""Out"" fruits were removed, so the flagging tape is around the bottom of the bract."
K3,744,4,6,E,762,Y,2024-03-18,9:25,2024-03-19,14:52,0,7,Y,Ferne,Ferne,N,2024-03-25,10:04,External bract a bit broken
K1,733,2,4,E,755,Y,2024-03-19,9:32,2024-03-20,15:35,1,,Y,Mike,Ferne,N,2024-03-28,8:22,
K1,734,1,4,E,759,Y,2024-03-19,9:37,2024-03-20,15:33,0,,Y,Mike,Ferne,N,2024-03-25,8:43,
K1,735,4,4,E,759,Y,2024-03-19,9:46,2024-03-20,15:32,0,0,Y,Mike,Ferne,N,2024-03-25,8:51,
K2,739,5,8,E,755,Y,2024-03-19,9:01,2024-03-20,15:44,0,,Y,Mike,Ferne,N,2024-03-28,8:49,Very tip of stigma looks brown
K2,743,3,6,E,764,Y,2024-03-19,9:20,2024-03-20,15:40,1,,Y,Mike,Ferne,N,2024-03-25,9:54,Damage is likely from insects. Older plant.
K2,748,1,2,E,759,Y,2024-03-19,9:15,2024-03-20,15:41,0,0,Y,Mike,Ferne,N,2024-03-25,9:40,
K3,746,2,3,E,764,Y,2024-03-19,8:46,2024-03-20,15:47,0,1,Y,Mike,Ferne,N,2024-03-25,10:08,
K2,741,3,4,E,758,Y,2024-03-20,9:29,2024-03-21,15:55,0,13,Y,Mike,Ferne,N,2024-03-25,9:34,Bag was also left off this morning!
K2,742,2,5,E,765,Y,2024-03-20,9:33,2024-03-21,15:55,0,,Y,Mike,Ferne,N,2024-03-28,8:52,
K2,750,2,5,E,761,Y,2024-03-20,9:55,2024-03-21,16:00,0,4,Y,Mike,Ferne,N,2024-03-25,9:44,Flower fell on the floor. Bract had brown eggs.
K1,734,1,4,E,753,Y,2024-03-21,8:27,2024-03-22,16:47,0,,Y,Mike,Ferne,N,2024-03-25,8:43,
K1,735,4,5,E,767,N,2024-03-21,8:42,2024-03-22,16:49,0,,Y,Mike,Ferne,N,2024-03-25,8:51,
K1,736,2,9,E,762,Y,2024-03-21,8:47,2024-03-22,16:50,0,,Y,Mike,Ferne,N,2024-03-25,8:59,
K2,748,1,3,E,758,Y,2024-03-21,9:07,2024-03-22,16:55,0,,Y,Mike,Ferne,N,2024-03-25,9:40,
K2,800,1,8,E,758,Y,2024-03-21,9:42,2024-03-22,16:57,0,19,Y,Mike,Ferne,N,2024-03-25,9:52,
K3,744,4,6,E,762,Y,2024-03-21,9:07,2024-03-22,16:59,0,,Y,Mike,Ferne,N,2024-03-25,10:04,Eaten
Mike,740,3,5,E,767,N,2024-03-21,9:49,2024-03-22,16:48,0,,Y,Mike,Ferne,N,2024-03-25,10:33,Eaten
K1,732,6,7,E,758,Y,2024-03-22,9:35,2024-03-23,15:58,0,,Y,Mike,Ferne,N,2024-03-25,8:24,
K1,733,2,4,E,758,Y,2024-03-22,9:26,2024-03-23,15:54,0,,Y,Mike,Ferne,N,2024-03-28,8:22,
K1,737,2,8,E,769,N,2024-03-22,9:12,2024-03-23,15:52,0,8,Y,Mike,Ferne,N,2024-03-28,13:46,"Dioxidized anthers. Flowers eaten, but style remaining."
K2,739,5,8,E,766,N,2024-03-22,8:40,2024-03-23,15:37,0,,Y,Mike,Ferne,N,2024-03-28,8:49,
K2,750,2,5,E,761,Y,2024-03-22,8:56,2024-03-23,15:45,0,,Y,Mike,Ferne,N,2024-03-25,9:44,
K3,746,2,4,E,762,Y,2024-03-22,8:28,2024-03-23,15:33,1,,Y,Mike,Ferne,N,2024-03-25,10:08,Style stuck to fruit
K1,735,4,6,E,767,N,2024-03-23,9:23,2024-03-24,15:24,0,,Y,Mike,Ferne,N,2024-03-25,8:51,
K1,736,2,9,E,758,Y,2024-03-23,9:13,2024-03-24,15:21,0,,Y,Mike,Ferne,N,2024-03-25,8:59,
K1,799,5,6,E,758,Y,2024-03-23,9:51,2024-03-24,15:29,0,2,Y,Mike,Ferne,N,2024-03-25,9:25,Top flower petal fell off while pollinating.
K2,742,2,5,E,758,Y,2024-03-23,8:16,2024-03-24,15:32,0,,Y,Mike,Ferne,N,2024-03-28,8:52,
K2,748,1,3,E,767,N,2024-03-23,8:13,2024-03-24,15:31,0,,Y,Mike,Ferne,N,2024-03-25,9:40,
K3,744,4,6,E,768,N,2024-03-23,8:55,2024-03-24,15:35,0,,Y,Mike,Ferne,N,2024-03-25,10:04,
K1,733,2,4,E,769,N,2024-03-25,8:33,2024-03-26,16:35,1,,Y,Mike,Ferne,N,2024-03-28,8:22,Bract doesn’t look great
K1,737,2,9,E,766,N,2024-03-25,9:06,2024-03-26,16:39,0,,Y,Mike,Ferne,N,2024-03-28,13:46,
K2,739,5,8,E,762,Y,2024-03-25,9:28,2024-03-26,16:45,0,,Y,Mike,Ferne,N,2024-03-28,8:49,
K2,742,2,5,E,758,Y,2024-03-25,9:37,2024-03-26,16:46,0,,Y,Mike,Ferne,N,2024-03-28,8:52,
K3,749,3,4,E,769,N,2024-03-25,10:23,2024-03-26,16:54,0,0,Y,Mike,Ferne,N,2024-03-28,14:13,
K1,736,8,10,E,762,Y,2024-03-26,9:28,2024-03-28,13:43,0,3,Y,Mike,Ferne,N,2024-03-28,13:44,
K1,737,2,9,E,765,Y,2024-03-27,7:58,2024-03-28,13:47,0,,Y,Mike,Ferne,N,2024-03-28,13:46,
K3,749,3,4,E,768,N,2024-03-27,8:17,2024-03-28,14:10,0,,Y,Mike,Ferne,N,2024-03-28,14:13,
K1,732,4,7,HPO,755,Y,2024-03-15,8:20,2024-03-16,15:08,0,9,Y,Ferne,Ferne,N,2024-03-25,8:28,Pollen doesn't stick
K1,735,1,4,HPO,757,Y,2024-03-15,9:05,2024-03-16,15:13,0,3,Y,Ferne,Ferne,N,2024-03-25,8:45,
K1,736,4,7,HPO,759,Y,2024-03-15,9:25,2024-03-16,15:16,0,5,Y,Ferne,Ferne,N,2024-03-25,8:58,Plant 736 looks good! Has ripenning (fat) fruits
K1,737,5,6,HPO,755,Y,2024-03-15,9:43,2024-03-16,15:20,0,1,Y,Ferne,Ferne,N,2024-03-28,8:38,
K2,739,4,8,HPO,757,Y,2024-03-15,10:07,2024-03-16,15:25,0,24,Y,Ferne,Ferne,N,2024-03-25,9:31,
K1,733,3,4,HPO,761,Y,2024-03-16,8:53,2024-03-17,15:38,0,3,Y,Ferne,Ferne,N,2024-03-28,8:24,
K2,742,1,4,HPO,763,Y,2024-03-16,10:10,2024-03-17,15:52,0,3,Y,Ferne,Ferne,N,2024-03-25,9:39,
