Date,Obs,Parch,Plant_ID,Bract,Treatment,Method,Dia-olv,Peso_fruta,# Semillas,Peso 1,Peso 2,Peso 3,Falsa,# de frutas por Bractea,Notas
12-May-25,MAP,K2,536,1,NN,RPM,7.09,0.44,1,0.13,0,0,0,1,
12-May-25,MAP,K3,554,6,ND,RPM,7,0.31,1,0.08,0,0,1,1,
12-May-25,MAP,K3,528,4,ND,RPM,9.01,0.58,2,0.09,0.07,0,0,1,
12-May-25,MAP,K2,558,1,ND,RPM,9.05,0.76,2,0.14,0.13,0,0,1,
12-May-25,MAP,K2,552,4,CTRL,RPM,6.08,0.34,1,0.09,0,0,0,1,
12-May-25,MAP,K2,552,4,CTRL,RPM,5.08,0.28,1,0.07,0,0,0,2,
12-May-25,MAP,K2,543,5,ND,RPM,8,0.45,2,0.03,0.11,0,1,1,
12-May-25,MAP,K2,536,2,ND,RPM,7.08,0.4,1,0.12,0,0,0,1,
06-Jun-25,MAP,K1,530,2,N,RPM,6.02,0.16,1,0.07,0,0,0,1,
06-Jun-25,MAP,K1,534,3,CTRL,RPM,8.27,0.5,2,0.13,0.13,0,0,1,
06-Jun-25,MAP,K1,535,2,N,RPM,7.96,0.56,2,0.14,0.09,0,0,1,
06-Jun-25,MAP,K1,545,2,N,RPM,4.5,0.12,1,0.03,0,0,0,1,"Fruta falsa, semilla falsa "
06-Jun-25,MAP,K1,545,4,ND,RPM,8.77,0.6,2,0.12,0.11,0,0,2,
06-Jun-25,MAP,K1,550,1,CTRL,RPM,7.1,0.27,1,0.07,0,0,0,1,
06-Jun-25,MAP,K1,550,3,CTRL,PRM,8.36,0.44,2,0.09,0.1,0,0,1,
06-Jun-25,MAP,K1,557,1,ND,PRM,8.44,0.54,2,0.12,0.1,0,0,1,
06-Jun-25,MAP,K1,559,4,CTRL,PRM,6.87,0.32,1,0.09,0,0,0,1,
06-Jun-25,MAP,K2,533,2,CTRL,PRM,8.53,0.5,1,0.17,0,0,0,1,
06-Jun-25,MAP,K2,533,2,CTRL,PRM,9.55,0.69,2,0.15,0.13,0,0,2,
06-Jun-25,MAP,K2,533,2,CTRL,PRM,7.7,0.4,1,0.12,0,0,0,3,
06-Jun-25,MAP,K2,533,3,CTRL,PRM,9.43,0.59,2,0.15,0.12,0,0,1,
06-Jun-25,MAP,K2,533,3,CTRL,PRM,9.62,0.7,2,0.14,0.14,0,0,2,
06-Jun-25,MAP,K2,533,4,CTRL,PRM,8.98,0.51,1,0.13,0,0,0,1,
06-Jun-25,MAP,K2,536,2,ND,PRM,10.47,0.86,3,0.12,0.13,0.11,0,1,
06-Jun-25,MAP,Tinamu,544,1,ND,PRM,8.9,0.83,3,0.12,0.11,0.14,0,1,
06-Jun-25,MAP,Tinamu,561,3,SW,PRM,7.36,0.4,1,0.12,0,0,0,1,
06-Jun-25,MAP,Tinamu,561,3,SW,PRM,9.17,0.56,2,0.11,0.11,0,0,2,
06-Jun-25,MAP,KT,770,4,ND,PRM,8.3,0.41,2,0.1,0.09,0,0,1,
06-Jun-25,MAP,K2,552,1,CTRL,PRM,7.47,0.4,1,0.14,0,0,0,1,
06-Jun-25,MAP,Tower,526,4,ND,PRM,9.43,0.62,3,0.13,0.08,0.09,0,1,
06-Jun-25,MAP,Tower,526,4,ND,PRM,8.02,0.38,1,0.11,0,0,0,2,
21-Jun-25,MAP,K2,558,3,ND,PRM,6.33,0.25,0,0,0,0,0,1,"Fruta falsa, semilla falsa "
21-Jun-25,MAP,K2,552,1,CTRL,PRM,7.37,0.36,2,0.05,0.06,0,0,1,
23-Jul-25,MAP,Tinamu,564,2,N,PRM,7.34,0.32,1,0.07,0,0,0,1,
