patch,plant_id,bract,treatment,pollen_donor,poll_date,poll_time,num_above_tape,nectar_source,coll_date,coll_time,donor_state,removed,notes
K3,528,4,ND,526,04-Mar,9:31:00 AM,9,N/A,05-Mar,1:53,covered,N,
K3,529,1,NN,774,04-Mar,9:41:00 AM,11,N/A,05-Mar,1:52,covered,N,
K3,529,2,HP,531,04-Mar,9:45:00 AM,8,N/A,05-Mar,1:52,covered,Y,
K1,530,2,N,526,04-Mar,10:14:00 AM,11,526,05-Mar,1:57,covered,N,Nectar taken from 2 flowers of the same inflorescence
K1,530,4,SD,774,04-Mar,10:20:00 AM,7,N/A,05-Mar,1:58,covered,Y,
K2,532,1,SW,531,04-Mar,10:30:00 AM,10,N/A,05-Mar,1:55,covered,N,
K2,533,2,Ctrl,N/A,04-Mar,10:35:00 AM,1,N/A,05-Mar,1:56,N/A,N,
K1,534,1,Ctrl,N/A,05-Mar,9:01:00 AM,4,N/A,N/A,N/A,N/A,N,
K1,535,1,SW,531,05-Mar,9:12:00 AM,13,N/A,06-Mar,2:45,covered,N,
K1,535,2,SD,770,05-Mar,9:18:00 AM,16,N/A,06-Mar,2:46,covered,Y,
K1,535,5,HP,527,05-Mar,9:21:00 AM,12,N/A,N/A,N/A,covered,Y,Treatment removed
K2,532,7,N,774,05-Mar,9:30:00 AM,7,774,06-Mar,2:44,covered,N,
K2,536,1,NN,531,05-Mar,9:35:00 AM,2,N/A,06-Mar,2:41,covered,N,
K2,536,2,ND,770,05-Mar,9:41:00 AM,0,N/A,06-Mar,2:42,covered,N,
K3,528,6,SW,527,05-Mar,9:46:00 AM,10,N/A,06-Mar,2:36,covered,N,
K3,537,1,Ctrl,N/A,05-Mar,9:49:00 AM,12,N/A,06-Mar,2:37,N/A,N,
K3,538,2,SD,774,05-Mar,9:54:00 AM,2,N/A,06-Mar,2:39,covered,Y,Treatment removed
K3,538,3,HP,531,05-Mar,9:57:00 AM,0,N/A,06-Mar,2:40,covered,Y,
K2,532,3,NN,527,06-Mar,9:39:00 AM,7,N/A,07-Mar,2:48,covered,N,
K2,532,5,ND,542,06-Mar,9:43:00 AM,12,N/A,07-Mar,2:49,open,N,
K3,529,1,NN,541,06-Mar,9:48:00 AM,N/A,N/A,N/A,N/A,open,N,Lost flower
K3,538,1,N,542,06-Mar,9:53:00 AM,4,543,N/A,N/A,open,N,
K3,537,2,Ctrl,N/A,06-Mar,9:56:00 AM,10,N/A,07-Mar,2:52,N/A,N,
K1,530,1,SW,527,06-Mar,10:03:00 AM,9,N/A,07-Mar,2:45,covered,N,
K1,535,4,N,541,06-Mar,10:08:00 AM,8,527,07-Mar,2:46,open,N,
K1,534,4,Ctrl,N/A,06-Mar,10:10:00 AM,0,N/A,07-Mar,2:47,N/A,N,Hole at the base of the flower
old_pots,774,5,SD,543,06-Mar,10:18:00 AM,10,N/A,N/A,N/A,covered,Y,
old_pots,774,6,HP,542,06-Mar,10:23:00 AM,8,N/A,N/A,N/A,open,Y,"Ugly flower, moist. Removed treatment"
tinamu,544,1,ND,543,06-Mar,10:37:00 AM,4,N/A,07-Mar,2:59,covered,N,
K1,545,1,NN,527,06-Mar,11:03:00 AM,8,N/A,07-Mar,2:43,covered,N,
K1,545,3,SW,542,06-Mar,11:06:00 AM,6,N/A,07-Mar,2:44,open,N,
K1,545,4,SD,541,06-Mar,11:10:00 AM,4,N/A,N/A,N/A,open,Y,
old_pots,547,7,ND,548,07-Mar,9:32:00 AM,1,N/A,08-Mar,2:46,covered,N,
KT,770,3,NN,546,07-Mar,9:44:00 AM,11,N/A,08-Mar,2:43,open,N,Flower had lots of nectar
KT,770,2,N,527,07-Mar,9:48:00 AM,9,548,08-Mar,2:42,covered,N,
KT,770,5,SW,548,07-Mar,9:52:00 AM,6,N/A,08-Mar,2:44,covered,N,Sugar water is 3 days old
K1,530,3,ND,549,07-Mar,10:09:00 AM,10,N/A,08-Mar,2:05,covered,N,
K1,535,3,NN,527,07-Mar,10:13:00 AM,14,N/A,08-Mar,2:06,covered,N,
K1,550,2,Ctrl,N/A,07-Mar,10:17:00 AM,2,N/A,08-Mar,2:08,N/A,N,
K1,545,2,N,546,07-Mar,10:24:00 AM,4,527,08-Mar,2:09,open,N,
K1,551,2,SW,548,07-Mar,10:31:00 AM,10,N/A,08-Mar,2:10,covered,N,Sugar water is 3 days old
K1,551,4,ND,549,07-Mar,10:35:00 AM,8,N/A,08-Mar,2:11,covered,N,
K2,532,1,SW,546,07-Mar,10:40:00 AM,N/A,N/A,08-Mar,2:13,open,N,Sugar water is 3 days old
K2,532,2,NN,527,07-Mar,10:44:00 AM,15,N/A,08-Mar,2:14,covered,N,
K2,552,1,Ctrl,N/A,07-Mar,10:46:00 AM,6,N/A,08-Mar,2:15,N/A,N,
K2,536,2,ND,549,07-Mar,10:49:00 AM,N/A,N/A,08-Mar,2:17,covered,N,
K3,528,9,N,546,07-Mar,10:57:00 AM,8,549,N/A,N/A,open,N,
K3,553,2,NN,549,07-Mar,11:03:00 AM,10,N/A,08-Mar,2:22,covered,N,
